measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44560,America,1,Male,30,80-84 years,441,Colon and rectum cancer,3,Rate,2011,180.1292758,189.2612516,163.7433431
1,Deaths,44560,America,2,Female,30,80-84 years,441,Colon and rectum cancer,3,Rate,2011,148.6793638,160.7481588,124.5378167
1,Deaths,44560,America,1,Male,31,85-89 years,441,Colon and rectum cancer,1,Number,2011,6160.271461,6584.12271,5337.758626
1,Deaths,44560,America,2,Female,31,85-89 years,441,Colon and rectum cancer,1,Number,2011,9291.660056,10274.89688,7296.927684
1,Deaths,44560,America,1,Male,31,85-89 years,441,Colon and rectum cancer,3,Rate,2011,245.4651255,262.3541053,212.6908853
1,Deaths,44560,America,2,Female,31,85-89 years,441,Colon and rectum cancer,3,Rate,2011,219.9355724,243.2089973,172.7198323
1,Deaths,44560,America,1,Male,32,90-94 years,441,Colon and rectum cancer,1,Number,2011,2772.349878,3029.737679,2286.182349
1,Deaths,44560,America,2,Female,32,90-94 years,441,Colon and rectum cancer,1,Number,2011,5551.822827,6263.081931,4206.1264
1,Deaths,44560,America,1,Male,32,90-94 years,441,Colon and rectum cancer,3,Rate,2011,306.3553775,334.7977244,252.6319863
1,Deaths,44560,America,2,Female,32,90-94 years,441,Colon and rectum cancer,3,Rate,2011,301.9014295,340.5788418,228.7240808
1,Deaths,44560,America,1,Male,235,95+ years,441,Colon and rectum cancer,1,Number,2011,804.393382,902.9384254,611.4559353
1,Deaths,44560,America,2,Female,235,95+ years,441,Colon and rectum cancer,1,Number,2011,2310.254492,2638.073999,1693.16012
1,Deaths,44560,America,1,Male,235,95+ years,441,Colon and rectum cancer,3,Rate,2011,286.209943,321.2730998,217.5611738
1,Deaths,44560,America,2,Female,235,95+ years,441,Colon and rectum cancer,3,Rate,2011,369.6530173,422.1058836,270.9146327
1,Deaths,44562,Europe,1,Male,11,30-34 years,441,Colon and rectum cancer,1,Number,2011,421.6147746,446.8315542,399.9889089
1,Deaths,44562,Europe,2,Female,11,30-34 years,441,Colon and rectum cancer,1,Number,2011,333.1271056,348.3926995,318.3192376
1,Deaths,44562,Europe,1,Male,11,30-34 years,441,Colon and rectum cancer,3,Rate,2011,1.380285215,1.462840074,1.309486314
1,Deaths,44562,Europe,2,Female,11,30-34 years,441,Colon and rectum cancer,3,Rate,2011,1.102415033,1.152933348,1.053411466
